      2	 0.000001
      0	 0.000000
    100	 0.001775
    200	 0.013078
    300	 0.045548
    400	 0.103075
    500	 0.199745
    600	 0.342639
    700	 0.548881
    800	 0.821118
    900	 1.193751
   1000	 1.629197
   1100	 2.152326
   1200	 2.793202
   1300	 3.558396
   1400	 4.438408
   1500	 5.459654
   1600	 6.599221
   1700	 7.929534
   1800	 9.409168
   1900	 11.062365
   2000	 13.381031
   2100	 15.331570
   2200	 17.342254
   2300	 19.527860
   2400	 22.196482
   2500	 25.089435
   2600	 28.153011
   2700	 33.150078
   2800	 35.212694
   2900	 39.112638
   3000	 43.307905
